nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.5672421,-0.35856315,-0.14187832,-0.108313955,0.20096906,-0.042993806,1.5539865,3.4624646,9.068936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.5684886,-0.35843882,-0.14250705,-0.14666347,0.17327218,-0.045124333,1.6042647,3.420566,9.163507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.5717573,-0.35358045,-0.13612573,-0.1370761,0.10935632,-0.067494884,1.357662,3.3307834,9.322722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.575338,-0.3490928,-0.13230123,0.0067346017,-0.020605942,-0.047254864,1.2666824,3.2888849,9.548974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.5783515,-0.35133085,-0.13358116,0.031235684,-0.0035617116,-0.028080104,1.5683517,3.3403602,8.817546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.5820756,-0.3499829,-0.13354942,-0.122162394,0.0070909327,-0.08134332,1.702427,3.4959834,9.110835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.5879407,-0.346825,-0.13463469,-0.058246527,-0.11115342,-0.14738972,1.2822447,3.4516907,9.435249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.5907383,-0.34799913,-0.13780051,0.034431476,-0.097304985,0.009204151,1.501314,3.5091515,9.302371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.594099,-0.3504791,-0.14212012,0.03230095,-0.11861027,-0.0792128,1.7790415,3.7796962,8.896554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.6015065,-0.35100046,-0.1449963,-0.019897008,-0.14843768,-0.18893503,1.4270939,3.504363,9.072528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.6097927,-0.35361418,-0.15160014,0.0546715,-0.24324621,-0.18360871,1.7790415,3.467253,9.337088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.6116922,-0.35363904,-0.15219128,0.10473893,-0.3007705,-0.22408876,1.714398,3.5259109,9.359832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.619952,-0.3581468,-0.15868925,0.050410442,-0.021671208,-0.23687193,1.4809633,3.4421139,9.188647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.6282446,-0.35959283,-0.15416086,-0.055050734,0.13811846,-0.22089297,1.4498388,3.3990183,9.22456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.6374342,-0.35751384,-0.145364,-0.024158066,0.12746581,-0.2166319,1.3636475,3.2852936,9.827899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.6429527,-0.3614422,-0.14037117,0.2283096,0.017743576,-0.15378131,1.0547955,3.290082,9.363423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.6434476,-0.3689992,-0.13679585,0.19954135,0.10615493,-0.042989545,1.1350013,3.5295022,9.192238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.643582,-0.37532523,-0.13265674,0.1888887,0.12000337,-0.056837983,1.3385084,3.8922238,9.322722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.6457257,-0.38428646,-0.12770598,0.21232451,0.14130867,-0.13566755,1.3073838,4.013131,8.831911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
