nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.67097545,-0.91108155,-0.8053669,-0.43092504,0.31951487,-0.12840085,4.423587,7.6440873,4.3791447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6904832,-0.9052513,-0.78374505,-0.3808576,0.20659685,-0.12627032,4.3469725,7.5447283,3.8847418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.7117283,-0.8979225,-0.7536347,-0.5608873,0.49208772,-0.17633775,3.962703,7.227496,3.7710173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.7379035,-0.8860392,-0.71752405,-0.81974655,0.67744374,-0.16355458,3.913622,7.367557,4.7670054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.7797772,-0.86841947,-0.6706838,-0.77394015,0.440955,-0.17953354,3.5185788,6.95336,5.3272486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.80664116,-0.85585517,-0.64549905,-0.61841154,0.28436115,-0.13798822,3.7723641,6.973711,5.591808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.8279967,-0.84676856,-0.6232191,-0.41494605,0.122440964,-0.27540734,4.0010104,7.2023573,4.8927007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.84203476,-0.842398,-0.60442847,-0.6173463,0.39727917,-0.2796684,3.7113118,7.1233487,4.506037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.88332665,-0.8245066,-0.5633243,-1.039191,0.2683822,-0.42454436,3.4120367,6.7809777,5.3906946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.9242201,-0.80371207,-0.5337947,-0.86449087,-0.11512339,-0.34144628,3.2013469,6.6085954,5.3068976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.9510086,-0.790716,-0.51754403,-0.88260037,-0.15773398,-0.3883179,2.3777416,6.18961,5.1393037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.9973125,-0.7665114,-0.49603084,-1.0551732,-0.34948155,-0.41708004,2.6231472,5.8292828,6.1628246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.0182478,-0.75604296,-0.48624963,-0.59178317,-0.08849178,-0.31801045,2.5561097,5.7825956,4.5227966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0353895,-0.73574126,-0.4700602,-1.0146931,0.35146242,-0.003757454,2.7584198,4.5256395,4.277391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.0729239,-0.70114225,-0.42984787,-1.7891403,1.1759771,-0.26368198,1.9228432,3.709217,6.191555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.1344328,-0.62353396,-0.3610582,-3.342296,1.3602679,-0.06980385,2.3693619,3.5164838,7.3575315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.1966741,-0.49641362,-0.26632676,-4.008086,2.0484288,-0.06767332,0.76883805,3.342904,10.333524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.2310116,-0.40853772,-0.20876706,-2.8991458,1.5765165,-0.18591768,0.5868787,3.0627825,11.376199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.2551689,-0.340224,-0.14250909,-1.5366727,1.6521503,0.020743627,-0.32291797,2.9825768,12.897715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.2551343,-0.3083639,-0.111222655,-0.6706127,0.5421448,0.6204875,-0.43065703,2.271499,12.112416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.2260176,-0.30541688,-0.1257971,0.6492499,-0.4623996,1.009309,1.8031331,2.4642322,10.309582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.1700608,-0.34639347,-0.13858846,1.7123837,0.5698416,1.0721596,3.9471407,4.575918,11.323526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.1205567,-0.3760246,-0.14943117,1.0050483,-0.1268413,1.9786997,1.4463971,4.124611,9.6427965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.0370423,-0.3785785,-0.20894049,0.071876585,-1.358287,2.2993443,1.8127099,3.3237505,9.088539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.9755607,-0.34837836,-0.27292693,-1.1734176,-1.6853231,1.432219,3.6706104,2.130241,7.4640737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.9863699,-0.30189094,-0.293037,-1.282069,0.1810377,-0.63973284,1.7157447,3.0029275,10.090512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.0223281,-0.30182344,-0.26712793,0.5874702,0.19808193,-1.0850134,-0.6485294,3.318962,9.738565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.0435954,-0.34668374,-0.2089612,1.0487297,2.4969225,-0.53214115,-1.616984,3.6888664,6.22268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.0350187,-0.35881793,-0.15971752,-0.39470363,0.46120223,0.0569501,3.6454713,6.4697313,8.873061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.0164906,-0.33518457,-0.16831358,-0.5267964,0.04681438,1.131802,1.7313071,1.8130093,9.230994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.9887341,-0.3300189,-0.17445995,0.45005104,0.54748863,0.805831,2.8589761,1.5316905,8.244583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
