nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,3.0509307,-0.54614675,-0.3302174,-0.25315902,0.29775524,-0.06621257,2.4022822,5.0269256,7.9252567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0549545,-0.53899616,-0.31693634,-0.21907057,0.24875309,-0.035319906,2.4130561,5.0496707,8.031798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.0570328,-0.53241676,-0.30852127,-0.077390395,0.0026770094,-0.061951518,2.3591864,5.010166,8.429236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0582204,-0.5340961,-0.31052345,0.05576766,-0.08467467,-0.039580964,2.602198,4.8389807,7.8342767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.0598705,-0.5328859,-0.30999976,-0.16367681,0.102811866,-0.07473469,2.6428995,4.8461637,7.9958854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.0635588,-0.526639,-0.29884523,-0.19883054,0.29242894,-0.072604164,2.3747487,4.7252564,8.254459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.0650501,-0.521226,-0.28918204,-0.15089364,0.20294672,-0.029993584,2.3124995,4.721665,8.355016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3.0643344,-0.51886857,-0.2858774,-0.041171405,0.06552761,0.009421199,2.365172,4.807856,8.2532625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.0639293,-0.51853436,-0.28452522,-0.011344001,0.043157056,-1.6618126E-4,2.4034793,4.7743373,7.9851117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.063341,-0.51846766,-0.28454474,-0.050758786,-0.017563015,-0.007623032,2.389114,4.8030677,8.139538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
