nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-1.4884627,0.0062650614,0.022455394,-8.1572623E-4,0.0021470406,-2.663161E-4,-0.3127426,-0.016609775,9.807548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.4880943,0.0061516534,0.02266326,0.0013148027,1.6511598E-5,-0.0013315806,-0.32231942,-0.0058358666,9.808745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.487698,0.0060160724,0.022810565,-8.1572623E-4,1.6511598E-5,-0.0013315806,-0.293589,0.006135142,9.774029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.4870256,0.006149962,0.022801764,-0.0018809907,0.001081776,-0.0013315806,-0.28760347,1.496376E-4,9.7919855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.4870659,0.0060461983,0.022913095,2.495382E-4,1.6511598E-5,7.9894834E-4,-0.27802667,-0.009427169,9.797971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.487056,0.0059200893,0.02304116,0.0013148027,1.6511598E-5,0.0018642128,-0.28760347,0.0025438394,9.807548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.4871647,0.005860108,0.023185434,0.0034453315,1.6511598E-5,-2.663161E-4,-0.2959832,-0.028580783,9.780015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.4874884,0.005748119,0.02332516,2.495382E-4,-0.0010487528,7.9894834E-4,-0.293589,-0.016609775,9.789592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.4875997,0.005696341,0.023447853,2.495382E-4,0.001081776,-2.663161E-4,-0.28880057,-0.030974984,9.800365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.487561,0.0055698445,0.023590308,-0.0020141487,-0.0011318434,0.0019140139,-0.28520927,-0.0058358666,9.774029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-1.4875648,0.005465495,0.023702586,-9.488843E-4,-0.002197108,-2.1651499E-4,-0.28520927,-0.0034416649,9.763255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-1.4877484,0.005379491,0.023780907,1.16380135E-4,-6.657903E-5,8.487494E-4,-0.27443537,-0.020201078,9.789592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-1.4878422,0.0053302143,0.02391416,-9.488843E-4,-6.657903E-5,0.0019140139,-0.2983774,-0.028580783,9.797971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-1.4874961,0.005235485,0.024040682,0.002246909,-0.0011318434,-2.1651499E-4,-0.2971803,-0.0058358666,9.824307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-1.4872068,0.0051696296,0.024170006,1.16380135E-4,-0.0011318434,-0.0012817794,-0.2983774,-0.019003976,9.77762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-1.4868579,0.0050683776,0.024276955,-9.488843E-4,-0.0011318434,0.0019140139,-0.28880057,-0.0010474633,9.781212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-1.4868523,0.0049916315,0.024360217,1.16380135E-4,9.986854E-4,0.0019140139,-0.28281507,-0.022595279,9.812336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-1.486533,0.004908611,0.024489962,1.16380135E-4,-6.657903E-5,-0.0012817794,-0.27563247,-0.026186582,9.783606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-1.4862484,0.004844343,0.024638642,-9.488843E-4,0.0031292143,-2.1651499E-4,-0.3127426,-0.016609775,9.793182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-1.4859095,0.00474715,0.024765491,0.002246909,9.986854E-4,-2.1651499E-4,-0.3031658,1.496376E-4,9.782409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1.4856334,0.0046763574,0.024833353,9.986854E-5,-1.6777914E-5,-0.0015646071,-0.27563247,-0.011821371,9.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
