nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.6741699,-0.9297032,-0.887248,-0.13270931,0.13504171,-0.077137925,4.536713,7.677606,3.5763388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.68418145,-0.92801625,-0.8754114,-0.22538732,0.21706706,-0.080333725,4.403835,7.587824,3.7762547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.69985026,-0.9247556,-0.8580805,-0.19129886,0.1680649,-0.09205163,4.433762,7.5770497,4.0827127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.71013516,-0.92392933,-0.84807116,-0.13483983,0.09243113,-0.09844322,4.1883564,7.5842323,4.0372224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.72218674,-0.9219715,-0.83743745,-0.1689283,0.08284375,-0.04411473,4.2530003,7.453748,4.1138372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.7347502,-0.9185457,-0.8267218,-0.17318936,0.09562692,-0.060093697,4.3535566,7.402273,4.258686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.74431854,-0.91674185,-0.8177614,-0.14868827,0.12971538,-0.06542002,4.195539,7.4465656,4.234744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.75523055,-0.91395533,-0.8061329,-0.17638515,0.12119327,-0.03665788,4.09618,7.498041,4.2503066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.76358104,-0.9104299,-0.79880273,-0.17851569,0.072191104,-0.008961004,4.3571477,7.482479,4.373608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.7738884,-0.9068386,-0.7903136,-0.13697037,0.05195108,-0.04837579,4.2853217,7.426215,4.5232453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
