nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
30,-2.941508,-0.4509061,-0.22154376,-0.045733668,0.018900987,-0.03226553,2.222717,4.656872,8.187871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2.942906,-0.45176297,-0.2221127,-0.051059987,0.026357837,-0.03759185,2.1389198,4.6532807,8.377012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.9404404,-0.4473888,-0.21512036,-0.040407345,0.05085892,-0.014156032,2.105401,4.659266,8.399757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-2.941465,-0.44841212,-0.21588196,-0.030819964,0.0455326,7.5766933E-4,2.1520882,4.6772227,8.317158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2.9424531,-0.44943509,-0.2166308,-0.012710469,-0.019448532,-0.02054762,2.1556795,4.693982,8.326735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-2.9418352,-0.45043382,-0.217788,-0.025493642,0.008248342,-0.025873942,2.2729952,4.574272,8.071752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-2.9418418,-0.4513129,-0.21868248,-0.11391059,0.12755796,-0.059962403,2.2442648,4.66166,8.351873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-2.9301016,-0.43734822,-0.1971245,-0.08727898,0.059381034,-0.0631582,2.0539258,4.692785,8.624812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-2.9314291,-0.4385212,-0.19787261,-0.06703895,-0.0066653597,-0.04930976,1.9809027,4.6125793,8.290821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-2.9326549,-0.43943778,-0.19868445,-0.057451576,-0.032231707,-0.068484515,2.0611084,4.5910316,8.478766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-2.93361,-0.44055134,-0.19953862,-0.04147261,0.009313607,-0.043983437,2.0658967,4.6664486,8.391377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-2.9208858,-0.43342334,-0.20356871,-0.085148446,-0.08123387,-0.070615046,2.6225486,4.7801733,8.326735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-2.9189248,-0.43474165,-0.20529541,-0.12775902,-0.092951775,-0.22081733,2.4010851,4.5814548,8.049006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-2.9240415,-0.4359504,-0.20414072,-0.12669376,0.25112864,-0.15050988,1.285387,4.721515,8.647557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-2.9240706,-0.43682075,-0.2050412,0.023510119,0.3075882,-0.08020269,2.1592708,4.5527244,8.485949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-2.926636,-0.43745837,-0.2046324,-0.12988795,7.920241E-4,-0.2090997,1.5966333,4.4042835,8.550592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-2.8987503,-0.4273021,-0.19053163,-0.09366897,0.015705725,-0.16222805,1.4062942,4.515614,8.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-2.9017255,-0.4282077,-0.19044422,-9.909623E-4,0.114775315,-0.06955005,1.6205753,4.4761095,8.604462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-2.9032347,-0.4289756,-0.1907224,0.018183798,0.3278282,-0.009895241,1.7869723,4.435408,8.622418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-2.9036503,-0.42951348,-0.19127434,-0.04679733,0.21277964,-0.052505817,1.9904795,4.506037,8.9719715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-2.8900886,-0.43929774,-0.16674271,0.05759858,0.12542796,-0.1100301,1.6600796,4.50484,8.385392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,-2.8902617,-0.44077414,-0.16736877,7.4302196E-5,0.0583163,-0.10683431,1.5655086,4.483292,7.801207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-2.8912995,-0.4417894,-0.16776353,-0.14160587,-0.05566699,-0.08339848,1.5619173,4.495263,8.25012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
