nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.29814214,-1.1323619,-0.87813944,-0.80141574,0.7491573,-0.3151124,3.1789012,8.834904,2.285864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3544023,-1.124621,-0.81395566,-0.77691466,0.49349385,-0.31724295,2.6449943,8.674492,3.152565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.40781033,-1.1153163,-0.75611866,-0.63522595,0.24742977,-0.2341627,2.7742813,8.455422,2.8760347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.45100123,-1.104396,-0.7093873,-0.73216504,0.21121077,-0.25120693,2.9059622,8.350078,2.441487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.48749676,-1.0924966,-0.6648151,-1.0932896,0.5915102,-0.34281966,2.8089972,8.107066,2.190096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5655138,-1.0633141,-0.57123077,-1.4831765,0.7885841,-0.46852088,2.843713,8.238748,3.5248635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6280954,-1.0386738,-0.49988815,-1.4874375,0.63412076,-0.54415464,2.0871453,7.916727,3.6804867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.70437026,-1.0016875,-0.4203986,-1.5822461,0.284714,-0.589961,1.7495629,7.290643,3.9713821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.75873476,-0.9681734,-0.36596742,-1.8954338,0.6596871,-0.66133374,2.0667946,6.8764467,3.9737763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.8338864,-0.9110385,-0.2722969,-2.105291,1.2072331,-0.7028791,1.2862848,6.778284,5.085883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.9064229,-0.8433056,-0.18211944,-2.1958385,1.0751402,-0.7007485,0.02813187,5.674557,6.0878563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.9536658,-0.7900973,-0.13358645,-2.025396,0.63412076,-0.62511474,0.25438392,5.2507834,7.102998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.99425006,-0.73386544,-0.09258077,-1.4831765,0.33797723,-0.60487473,0.22685061,6.054038,7.2861543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0252477,-0.6958779,-0.074236505,-1.5396354,-0.30863827,-0.5867652,-0.83737206,4.622306,7.0742674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.0665487,-0.64983755,-0.071587086,-1.0155253,-0.8295526,-0.63363683,-0.8900445,4.694132,7.911041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.077384,-0.6236659,-0.10548865,-1.0208517,-1.4612544,0.120570354,0.8074445,5.0029836,6.903082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.0746058,-0.5782193,-0.12876222,-2.287451,-0.014625282,0.55200243,2.0440497,4.885668,9.238626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.0701898,-0.50566304,-0.11200341,-1.5225912,0.85036945,0.6936826,-0.037708677,4.5612535,12.985552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.0589607,-0.48324764,-0.104641534,-0.18994543,0.72147244,0.89288706,0.04129998,3.6502597,9.804854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.0210724,-0.4892614,-0.08201819,0.46200493,1.247725,1.048405,0.76434886,5.2376156,11.219828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.9992178,-0.497164,-0.07895497,0.48970178,0.11215317,0.92803013,0.3393781,4.2296567,9.930551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.96682805,-0.51283205,-0.11103817,0.69955885,-0.7720163,0.9472049,0.52612585,4.2152915,8.848371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.9229362,-0.53511876,-0.15291241,0.88917595,-0.49824336,1.0207082,1.1139023,5.210082,8.853159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.8724482,-0.55363446,-0.18341653,0.7059505,-0.20636089,1.3413527,1.6992847,5.3956327,6.3787518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.8055389,-0.5516223,-0.21161287,-0.7449397,0.28366074,1.2231084,1.702876,5.4387283,3.9294837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.7960658,-0.5000474,-0.21940249,-2.301291,0.30177024,0.73947835,4.540005,3.9459436,11.715427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.7989478,-0.44510844,-0.2205239,-0.58621526,0.5755432,-0.013663614,4.2251673,3.0924108,10.344747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.80842924,-0.4437682,-0.18740757,-0.27515808,1.5747613,-0.46533573,1.1976994,2.7656024,6.4086795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.84039193,-0.43237185,-0.1183417,-0.27941912,1.3510557,-0.5004895,-0.7930793,4.9431286,11.586141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.8507015,-0.4510448,-0.07415333,0.76454,1.1007186,-0.16919222,-0.5009867,4.045303,7.827244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
