nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
30,-2.5854607,-0.87825733,-0.2402905,0.031372838,-0.02130236,-0.017606957,1.1939584,7.271789,6.5804634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2.5852551,-0.87766296,-0.2393406,0.069722354,-0.018106565,0.029264677,1.2334628,7.306505,6.3182983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.5845187,-0.8771151,-0.2389122,0.04202548,-0.013845508,0.021807827,1.4094366,7.425018,6.364985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-2.588567,-0.88239604,-0.24482115,0.07078762,-0.048999235,5.025385E-4,1.3986627,7.4286094,6.221333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2.5870078,-0.8821259,-0.24438496,0.06333077,-0.046868704,0.0058288607,1.3842975,7.402273,6.1040173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-2.5859382,-0.88139516,-0.2443788,0.00580649,-0.005323393,-0.019737486,1.5949873,7.4465656,6.4044895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-2.5853076,-0.8808631,-0.24355534,0.045221273,-0.029824475,-0.07726177,1.3040917,7.427412,6.329072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-2.5736039,-0.8909063,-0.24360123,0.05587392,-0.08202243,-0.06447859,1.2322657,7.4322004,5.9998693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-2.5723453,-0.8905834,-0.24339548,-0.014433534,-0.037281327,-0.036781717,1.4417584,7.463325,6.066907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-2.5723062,-0.88995355,-0.24248421,-0.03999988,0.0127861025,-0.03039013,1.2538135,7.3962874,6.254852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
