nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
7655,-0.03987345,-1.4113936,-0.5177199,0.025200162,0.024501082,2.0466392,-0.99972886,0.9982325,0.7718308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7656,-0.35734382,-1.3625468,-0.8258724,0.037983336,0.3025351,2.594185,-1.1634324,0.84709847,0.8309376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7657,-0.6041597,-1.2895674,-1.0656927,0.2574278,-0.15659387,3.0202909,-0.7968203,0.20530279,0.24091655,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7658,-0.7553661,-1.1898932,-1.2169557,0.080593914,-0.30786142,3.4325483,0.07706337,-1.4454993,0.163105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7659,-0.7928063,-1.1374322,-1.2633439,0.2819289,-0.35899413,3.9971385,-2.6291327,-2.3071127,0.36706105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7660,-0.88293594,-0.99581957,-1.355947,0.24890569,-0.4250405,5.134841,-3.6314054,-3.89791,0.056563016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7661,-0.9623379,-0.81005114,-1.4357129,0.25423202,-0.94702005,5.6291237,-0.6889315,-5.7677817,-0.774225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7662,-1.0100726,-0.61589986,-1.4911411,0.13385713,-0.8330368,5.509814,0.4468179,-4.876839,-0.86879593,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7663,-1.0347241,-0.44286853,-1.5279343,0.030526483,-0.737163,4.8472195,1.167323,-3.3026516,-1.2300211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7664,-1.0444334,-0.36664444,-1.5468879,-0.015279886,-0.8681905,3.8884814,1.5605706,-1.99437,-1.5312417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7665,-1.041284,-0.24675581,-1.569647,-0.49571416,-0.2727077,2.9915287,1.0206782,-2.7688942,-1.1110592,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7666,-1.0209904,-0.1536795,-1.5662681,-0.43925512,-0.03834952,2.5537052,0.24226329,-1.7549498,0.9280524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7667,-1.0142124,-0.078711346,-1.5734167,0.032657012,-0.4101268,2.0551615,1.2586019,-1.5035586,1.1806407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7668,-1.0192909,-0.02715967,-1.5868068,0.21907829,-0.25992453,1.3670006,1.5384243,-0.5222353,-0.20844519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7669,-1.0191122,-0.010767076,-1.5837927,0.15835822,0.30466563,0.79814935,1.4966754,-0.18570027,0.13602059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7670,-1.0223131,0.00892208,-1.5711845,0.33093104,0.36005938,0.3358246,1.5901989,0.13452421,0.4707599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7671,-1.0328541,0.012429719,-1.5597999,0.40336904,0.45699844,0.026897926,1.1376947,0.21832126,-0.19602527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7672,-1.0373379,0.0072080186,-1.5405976,0.2307962,0.59122175,-0.15739281,1.1194389,0.5291186,-0.33848026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7673,-1.0374453,0.0018584423,-1.5335836,0.2158825,0.3952131,-0.41731733,1.3024458,0.24600422,-0.2717419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7674,-1.0358601,-0.012543003,-1.5184522,0.009221195,0.4580637,-0.27883297,0.04309563,0.15263036,0.2753332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7675,-1.0338517,-0.019337501,-1.5114591,0.12000869,0.007456851,-0.1307612,0.7338228,0.18405426,0.039055414,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7676,-1.0342822,-0.025961595,-1.5151284,0.052897036,-0.004261058,-0.2511361,1.1133038,0.040402155,-0.5283704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7677,-1.0298356,-0.035825863,-1.5083249,-0.05149888,0.26205504,-0.30546457,0.4854244,-0.15203181,-0.13572131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7678,-1.0255642,-0.040281344,-1.5060972,-0.038715705,0.03834952,-0.18722022,-0.29673138,-0.19033903,-0.04563947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7679,-1.0195473,-0.04343311,-1.5052251,-0.01634515,-0.03621899,0.02263687,-0.4849755,-0.035314474,0.4373907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7680,-1.0173932,-0.040513493,-1.505386,0.0145475175,0.06498113,0.1323591,-0.0839467,-0.13347675,0.023193829,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7681,-1.0163862,-0.03718135,-1.5050182,0.031591747,0.014913702,0.06844324,0.3716998,-0.15682021,-0.21443069,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7682,-1.0139765,-0.0372159,-1.5031134,-0.004627242,0.109722234,-0.01571265,0.2172738,-0.05267244,-0.11372458,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7683,-1.0117286,-0.038055643,-1.5010673,-0.0088883005,0.15339808,-0.070041135,0.08843583,-0.05267244,-0.13871406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7684,-1.0087799,-0.04120046,-1.4969862,-0.07280417,0.20133498,-0.13502227,0.37095162,-0.045489833,-0.31229368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7685,-1.0015094,-0.04851647,-1.4863955,-0.14311162,0.43569314,-0.27670243,0.1846528,0.057311203,-0.017357962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7686,-0.992604,-0.058657784,-1.4685675,-0.08878313,0.5006743,-0.30546457,-0.12449849,0.16160862,0.45010993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7687,-0.9882334,-0.06692198,-1.4608303,-0.014214622,0.16831177,-0.21598236,-0.43604398,-0.074818805,-0.08200141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
