nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
0,0.7663283,-0.80545026,0.208163,-0.2187454,-0.33449304,-0.05725796,-0.7471406,1.4252982,0.09262568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7644263,-0.80451167,0.19784501,0.006025402,-0.33768883,-0.007190535,-0.5638345,1.6992847,-0.5719149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.76495093,-0.8093043,0.19516973,0.111486584,-0.14274544,-0.1190433,-0.31648353,1.7670705,-0.5081693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.76921564,-0.81810224,0.18799613,0.33093104,-0.48576057,-0.10519486,-0.17283143,1.4929343,0.31663316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.76719564,-0.8277067,0.18052931,0.4406533,-0.7339672,-0.25646242,0.38561612,1.3684359,-0.2347814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.77837676,-0.83626723,0.17312014,0.03691807,-0.32810146,-0.41412154,0.6362591,0.49724576,-0.16295536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.79706573,-0.83167094,0.17935394,0.05076651,-0.2545982,-0.32144353,-0.18136078,-0.16115971,0.83542675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8008355,-0.837915,0.16927952,0.28832048,-0.5336975,0.023702133,0.025737667,-0.8590695,-0.07796119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.7849473,-0.8378714,0.1522553,-0.28585705,-0.18216021,0.11638014,0.59855044,-0.29987377,-1.4625579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.77750474,-0.8227396,0.1501711,-1.0219548,0.008522116,0.16431704,-0.079008654,0.14664486,0.7353192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.7439693,-0.79461116,0.12660387,-0.54152054,-0.32277513,0.31984565,1.0613796,0.49694648,0.54647654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.71482974,-0.7926869,0.102982156,-0.032324117,-0.2961435,0.050333746,2.0669444,1.2223896,-0.83258367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.70785123,-0.78686255,0.09429609,-0.31035814,-0.32384038,-0.21811289,1.3226469,0.34671032,0.32202014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.7203096,-0.76528573,0.08246943,-0.55963004,-0.32490566,0.09614012,-0.52373165,-1.7037737,0.9825205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.7095177,-0.7562049,0.07042382,-0.08558734,-0.7115966,-0.17337179,0.98102415,-1.2475287,1.5378257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.7366804,-0.7563703,0.05645275,0.3415837,-0.79894835,-0.6516755,0.6075287,-0.9805752,1.7533039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.77874035,-0.7691283,0.05934094,0.6963168,-0.48149952,-0.57284594,-0.84021515,-1.0512042,1.6584336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.80666494,-0.7994188,0.069055334,1.0691593,-0.19174759,-0.3683152,-0.7333739,-1.4013562,0.25722703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.81282836,-0.8147819,0.07520742,0.84332323,-0.18322548,-0.22237395,-0.786196,-0.59346277,-0.22849663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.81861794,-0.8429482,0.076634146,0.7421231,-0.40586576,-0.39920783,0.36780924,-0.27623102,-0.8964789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.8566492,-0.85555375,0.08538036,0.2787331,-0.6146576,-0.68682927,-1.1200374,-1.1971009,-0.14380173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.8871734,-0.85785156,0.09955181,0.06568021,-0.025566347,0.0695085,-3.1585505,-1.054197,-0.76584524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.8485657,-0.873439,0.07636079,0.5418534,-0.008522116,0.8002799,-0.5410896,-1.4565724,-1.7374423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.8085607,-0.88862413,0.04899507,0.39378166,-1.0887003,0.7576693,1.1611878,0.66828156,-1.5650598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.74017197,-0.89597493,-0.03527146,0.1349224,-1.2825783,0.35499936,3.0195372,0.5847838,-1.436521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.7248921,-0.9060473,-0.055597637,0.12746555,-0.16405073,-0.43116578,1.2645874,-0.6839935,-2.2783823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.7656416,-0.88907075,-0.02984461,-0.85683876,-0.3323625,-0.77311563,-0.8339304,-0.6025906,-0.5018845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.7953806,-0.8612063,-0.005658517,-0.65443856,0.25033715,-0.38748994,-0.51565117,-0.847697,1.6265608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.7973196,-0.8598404,0.009322865,-0.065347314,0.46125948,-0.49295112,0.20425533,0.24226329,0.07032967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.82388055,-0.8578132,0.04467652,0.03691807,0.14274544,-0.73796195,0.15053543,0.06569091,-0.045340195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.8580812,-0.8608331,0.072475985,0.16581507,-0.09054748,-0.5984123,-0.5342063,-0.24196401,-0.30630818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.8756971,-0.8657337,0.08659356,0.22546987,-0.1075917,-0.50360376,0.55680156,-0.5511153,-0.1858499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.8945607,-0.87023056,0.10337958,0.049701244,-0.12676647,-0.55473644,-1.0582372,-0.89573073,-1.3124714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.918317,-0.858045,0.11947674,-0.38173085,-0.05965481,-0.54408383,0.047884032,-0.4930559,1.2841899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.9498803,-0.848147,0.13594805,0.12107396,-0.19813919,-0.5632586,-0.19153613,-0.5481225,1.6947955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.9743869,-0.8535465,0.15133426,0.15516242,-0.12250541,-0.5653891,-0.012120646,-0.38860887,-0.3616741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.9965424,-0.8400044,0.17443134,-0.34977293,0.17576863,-0.61865234,0.59974754,-0.3302502,0.76345104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.0186714,-0.82995886,0.1866375,-0.16015585,-0.0127831735,-0.8103999,0.10534488,-0.83422965,1.8384476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.0632539,-0.81429213,0.22358339,-0.21768013,0.5869607,-0.71346086,-0.6512229,-0.974889,1.4746786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.0996964,-0.79751676,0.2530626,-0.33698973,0.18961707,-0.6793724,0.8062474,-0.94645786,1.3829508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.1558986,-0.7714422,0.28537604,-0.47973517,0.4303668,-0.8924253,0.91473466,-1.4856021,2.0278888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.2050478,-0.7445558,0.30645645,-0.45097303,0.05539375,-0.68363345,0.29703066,-1.2749124,2.60968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.2302103,-0.7353197,0.30965236,-0.07706522,0.080960095,-0.4098605,0.7757214,-0.74669164,2.2922986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1.2031959,-0.73288345,0.31453732,0.29258153,-0.033023197,-0.31185615,2.1728876,-0.37813422,1.3578117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.2082843,-0.7398354,0.32678935,0.3032342,0.05326322,-0.48549426,1.4965256,-0.10519524,0.0362123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.2273268,-0.7320338,0.35397542,-0.07493469,0.5805691,-0.5334312,0.7428011,-0.40342298,0.7413047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.2518001,-0.73328483,0.38697028,0.33412686,0.41438785,-0.4301005,-0.22804771,-0.36541504,0.21712416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.2672043,-0.7380355,0.40482202,0.2968426,0.26525083,-0.3470099,-1.38325,-0.5066729,-2.0334253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.2855525,-0.73680496,0.43483195,-0.046172556,0.6018744,-0.1605886,-1.9666871,-0.24779987,-1.3221979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.2906251,-0.7412735,0.45449227,0.28299415,0.15126754,0.2942793,-2.4958057,-0.11731588,-1.0317513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1.2811052,-0.75977075,0.4543423,0.2670152,-0.0777643,0.49028796,-1.8565538,0.7410054,-2.4132056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.2736443,-0.76592577,0.45206025,0.06781074,-0.16618125,0.4561995,-1.802385,1.0812813,-1.0528502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.2543563,-0.7792171,0.43428358,0.28938574,-0.41119206,0.65859973,-1.8323125,1.4272435,-0.5859809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.222642,-0.8008992,0.40463677,0.3447795,-0.39947417,0.7555388,-0.7043442,1.5960348,-0.3859154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1.190577,-0.82469195,0.3762143,0.38206375,-0.35153726,0.64262074,-0.1249474,1.5685014,-0.9461586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1.1650438,-0.84263223,0.3598143,0.28832048,-0.05539375,0.53929013,-0.65032506,1.0223241,-0.9124901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.14646,-0.8523527,0.3543012,0.3778027,0.17044231,0.55953014,-0.23148938,0.75985974,-0.24839842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1.1162728,-0.8749138,0.34648234,0.47154596,0.19707392,0.39441416,0.580145,0.8029554,-1.0169371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.1017133,-0.89044994,0.3499624,0.20096879,0.16831177,-0.040213734,0.53704935,0.8125322,-0.97623575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.1055467,-0.89068925,0.3562983,0.020939104,0.010652645,-0.15632756,-0.25423428,0.24420857,0.38322192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.1088014,-0.88862616,0.37709725,-0.036585175,0.5752428,-0.17443705,-0.23867199,0.25857377,-0.020201078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.109914,-0.88561606,0.39373437,-0.16974322,0.7339672,-0.20746025,-0.4329016,0.16205753,-0.109534726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.117265,-0.8783639,0.41747168,0.040113863,0.257794,-0.1190433,-0.6914754,-0.03067571,0.7679402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.1183157,-0.88503045,0.4268438,0.22120881,0.18322548,0.0695085,-0.06180033,-0.105494514,-0.44083238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.1045239,-0.8890854,0.4240285,-0.041911498,0.083090626,0.22929817,0.5786486,0.10998364,0.023642741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1.0967313,-0.889033,0.4188819,0.0049601374,0.013848438,0.105727494,-0.06075287,0.0827496,0.74310035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.0882672,-0.89309776,0.41684702,0.17753297,0.14807175,0.21544974,0.15233108,0.13542204,-0.100855745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.0752702,-0.90408784,0.42060763,0.21694776,0.36751622,0.17496969,0.48796824,0.28266543,-0.9485528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.0645742,-0.91892004,0.43070558,0.2851247,0.43569314,0.24847293,0.34192193,-0.020201078,-1.9613001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.062171,-0.9312202,0.4447597,0.2158825,0.23542345,0.0396811,0.17178397,-0.15861586,-2.0148704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1.0585872,-0.93524855,0.44954658,0.064614944,0.19174759,-0.013582122,0.31902736,-0.42676646,-1.5252562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1.0614334,-0.93746704,0.46182105,6.9907977E-4,0.18322548,-0.059388492,-0.15143326,-0.25558102,-1.4115316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.0608133,-0.9351688,0.46712747,-0.17506956,0.027696876,-0.019973708,-0.26800096,0.0062847794,-0.92491007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1.0534585,-0.9283821,0.45598555,-0.15909058,-0.28549087,0.027963191,0.006135142,0.12000936,0.65765727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.0405389,-0.9295222,0.43948886,0.0070906663,-0.28442562,0.055660065,0.7694366,0.07182605,0.04878186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1.0254753,-0.9283923,0.4308916,-0.22194119,-0.16192019,-0.12863068,1.5200188,0.25139117,0.34925416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1.026276,-0.9145087,0.42199516,-0.31035814,-0.34301513,-0.28735507,0.82929164,0.066139825,1.5677532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.0351163,-0.90072954,0.41548827,-0.20915802,-0.19387813,-0.16591494,-0.086490534,0.3645172,2.1200657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1.03543,-0.8973263,0.41284737,0.06781074,-0.05326322,0.0034621095,-0.18719664,0.73666596,1.4567221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.0341934,-0.9061879,0.4138008,0.25849307,-0.0063915867,0.07163903,-0.036361936,0.6971616,-0.17612346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.0332702,-0.91216505,0.41583633,0.2787331,-0.014913702,0.17070863,-0.18016368,0.07272387,-0.7764695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1.0259025,-0.9266178,0.41352174,0.24038358,-0.06072007,0.23675501,0.021996727,0.0017956513,-1.6449662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1.0159836,-0.9342757,0.40981233,-0.041911498,0.023435818,0.18136127,-0.18959084,0.009876082,-1.5943887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1.0046328,-0.9298842,0.40577456,-0.35083818,0.19707392,0.2793656,-1.1484686,-0.33129767,-1.335815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.9929214,-0.92450947,0.40270114,-0.7002449,0.48363006,0.52650696,-1.0375872,-0.28625673,-0.48841715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.9529822,-0.9046124,0.38569358,-0.9132978,0.8064052,0.74169034,-0.9864111,-0.59585696,0.8773253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.9074777,-0.88548636,0.3663707,-0.66296065,0.39414784,0.5840312,-0.3812766,0.07047931,1.6801311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.88604325,-0.8757978,0.34909964,-0.20276643,0.023435818,0.3901531,-0.6206968,-0.17492636,1.6047137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.8699344,-0.8804371,0.33488533,0.06141915,-0.037284255,0.47217846,-1.0375872,-0.31408933,0.18001404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.86033994,-0.8835282,0.3292376,-0.039780967,0.14913702,0.4199805,-0.31453824,-0.010025719,-0.51191026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.83898705,-0.88128424,0.31670523,-0.4190151,-0.013848438,0.17603494,0.017956512,0.30945057,-0.6926725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.8356163,-0.86708647,0.3100444,-0.35722977,-0.092678,-0.06471481,-0.5327099,-0.0796072,0.44696754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.8402702,-0.8594024,0.3097995,-0.14524214,0.1107875,0.079095885,-1.2828432,-0.03755904,0.014065935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.8367154,-0.85918313,0.3085557,-0.042976763,0.046871636,0.20799288,-0.48317984,0.121655375,0.03321955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.82693386,-0.86065036,0.3012514,-0.028063059,-0.044741105,0.11638014,0.15278,0.036511578,-0.046537295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.82080466,-0.8605176,0.2941816,-0.0568252,-0.07563377,0.15579492,0.03067571,-0.03172317,0.03247136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.8076244,-0.8597951,0.28424746,-0.14630741,-0.024501082,0.17923073,0.13452421,0.1690905,-0.3824737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.7944611,-0.8522992,0.27488774,-0.32420656,-0.008522116,0.11318435,0.24705169,0.43245268,-0.019752163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.7909272,-0.8482505,0.27047578,-0.23578963,-0.25672874,0.011984224,-0.08499416,0.49709612,0.28191724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.79004836,-0.8460852,0.2656016,-0.17506956,-0.24714135,0.050333746,-0.40701428,0.67067575,0.08319851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.7883763,-0.84983325,0.2647334,0.20949091,0.13635385,0.3059972,-2.0368671,3.08448,-0.09202713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.7677446,-0.8657744,0.25141022,0.27766782,-0.2876214,0.63622916,-1.4083891,3.9535751,0.2323872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.72628266,-0.8864705,0.19447282,0.59618187,-1.2314457,0.6841661,0.6238392,3.219902,1.963395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.68493176,-0.91841716,0.12606964,0.8774117,-1.2761868,0.46365634,2.5978584,2.294543,0.57954645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.6557093,-0.9290868,0.10381224,0.58552927,-0.5241101,0.15686019,2.5659857,1.3564649,0.86610246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.65224874,-0.9411688,0.102529116,0.475807,0.07456851,-0.33103094,1.3485341,-0.4810849,1.3210008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.68403774,-0.95143825,0.12731929,0.5301355,0.13209279,-0.4332963,0.45010993,-1.6522985,1.4582185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.7316278,-0.9655798,0.14838298,0.70803463,-0.19813919,-0.43542683,-0.2693477,-2.940379,0.91114336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.7581635,-0.97203344,0.15662786,0.79858214,-0.10333065,-0.31824774,0.039055414,-3.5649664,-0.16714521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.78296727,-0.9907955,0.17498952,0.6260093,0.07137272,-0.30546457,0.5719149,-3.8901289,-1.0345944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.80812424,-0.9990167,0.20203097,0.20309933,0.34408042,-0.35659727,0.45459905,-3.9077861,-1.5779285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.8293791,-0.99311864,0.23536862,-0.112218946,0.5773733,-0.37577203,0.48811787,-3.5809774,-1.297807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.8424946,-0.9855263,0.2526486,-0.24005067,0.4165184,-0.49295112,0.37259763,-3.0020297,-0.71556705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0.8748007,-0.97124046,0.28925234,-0.41581932,0.35792884,-0.51851743,-0.2551321,-2.330905,-1.5080478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0.8909971,-0.9513658,0.31775373,-0.61502373,0.47510794,-0.39281625,-0.12704232,-1.6760908,-1.5559318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.9033264,-0.9263755,0.341519,-0.6736133,0.30679616,-0.4460795,-0.27608138,-0.39893386,-0.8740333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.91606927,-0.9160668,0.3566783,-0.5670869,0.19387813,-0.26711506,-1.590947,0.9011177,-1.261445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.9209586,-0.8996015,0.36719212,-0.47760466,0.09374327,0.20479709,-3.2513258,2.8320413,-0.7873931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.88903844,-0.89653856,0.33991444,-0.15802532,-0.4942827,0.95474327,-1.3739725,3.2368112,0.295235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0.80940115,-0.91036135,0.26230845,0.21694776,-1.0162623,1.0570086,2.5106196,2.2180781,0.48557404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.7560203,-0.92795324,0.19082704,0.32773525,-1.2282499,0.32304144,3.202544,1.3572131,-0.45729253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.7440891,-0.9305832,0.17199065,-0.29224864,-0.5230448,-0.3043993,1.5074493,0.50966567,-0.78888947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.7661362,-0.9099435,0.18537116,-0.6192848,0.4878911,-0.37896782,-0.6841431,0.111779295,0.942268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.7894518,-0.8902829,0.21635616,-0.22939804,0.52837116,-0.22343922,-1.5676036,-0.14320318,1.8424878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.80496806,-0.888871,0.23123832,0.21481723,-0.080960095,-0.007190535,-1.5089456,-0.3024176,0.9769839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.8079926,-0.89666915,0.22652367,0.23292673,-0.18429075,0.06844324,-0.5493196,-0.26351184,0.1225532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.8090313,-0.89781606,0.22625682,0.023069633,0.06924219,0.029028455,-0.26560676,-0.14859015,0.16804303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.8107093,-0.8970916,0.23239255,-0.006757771,0.30360037,0.06524745,-0.55321026,-0.041150343,0.38741177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.8082296,-0.8983135,0.23853478,0.0539623,0.16724652,0.10466223,-0.43469724,0.120458275,0.35149872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.80107546,-0.9030097,0.23359436,0.13279186,-0.05539375,0.18988338,-0.23493104,0.22580315,0.16774376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.7848982,-0.90973675,0.22159651,0.10509499,-0.049002163,0.23462449,0.29972413,0.28835166,-0.19123685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0.77295375,-0.91240585,0.2162425,0.07526759,0.049002163,0.17390442,0.55350953,0.27667993,0.022146367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0.7601134,-0.91701007,0.21208902,0.10402973,0.11291803,0.087618,0.5092168,0.2551321,-0.15143326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0.75373316,-0.92155504,0.21394643,0.07526759,0.10120012,0.013049489,0.37065235,0.16400282,-0.2733879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0.75343853,-0.9238988,0.2190805,0.062484417,0.11504856,-0.047670584,0.10968436,0.050278235,-0.17283143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.754072,-0.92530775,0.22292915,0.059288625,0.11824435,-0.022104237,-0.121655375,-0.017357962,-0.25917232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
